"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.816671227E0,1.387834549E-3,4.719078541E-3,1.031141281E-1
2.826707249E0,6.176233292E-3,-2.463519573E-3,9.952259064E-2
2.836687875E0,1.216173172E-2,9.507477283E-3,9.114265442E-2
2.846704323E0,1.335883141E-2,5.916178226E-3,9.712791443E-2
2.856675777E0,2.584934235E-3,9.507477283E-3,9.114265442E-2
2.866695427E0,4.979133606E-3,1.127779484E-3,1.043109894E-1
2.876718829E0,-1.006364822E-3,7.113277912E-3,1.150846481E-1
2.886698473E0,8.570432663E-3,8.310377598E-3,1.019163132E-1
2.896710602E0,6.176233292E-3,1.908427477E-2,9.233951569E-2
2.906684821E0,1.096463203E-2,8.310377598E-3,1.019163132E-1
2.916714257E0,-3.400564194E-3,2.324879169E-3,9.233951569E-2
2.926676456E0,2.584934235E-3,7.113277912E-3,9.593105316E-2
2.936657382E0,-1.006364822E-3,1.070457697E-2,9.712791443E-2
2.946646999E0,3.782033920E-3,8.310377598E-3,8.994579315E-2
2.956640346E0,4.979133606E-3,7.113277912E-3,1.114931107E-1
2.966638654E0,-1.006364822E-3,8.310377598E-3,9.832572937E-2
2.976661962E0,7.373332977E-3,4.719078541E-3,9.832572937E-2
2.986672058E0,1.096463203E-2,1.070457697E-2,1.055078506E-1
2.996674626E0,-3.400564194E-3,1.127779484E-3,1.055078506E-1
3.006670160E0,1.387834549E-3,9.507477283E-3,9.114265442E-2
3.016649715E0,-4.597693682E-3,8.310377598E-3,9.353733063E-2
3.026648262E0,8.570432663E-3,1.788717508E-2,1.150846481E-1
3.036642112E0,-1.006364822E-3,1.127779484E-3,9.233951569E-2
3.046634056E0,-1.006364822E-3,8.310377598E-3,1.019163132E-1
3.056631778E0,-1.006364822E-3,1.549297571E-2,9.712791443E-2
3.066649985E0,4.979133606E-3,1.070457697E-2,9.712791443E-2
3.076669358E0,4.979133606E-3,9.507477283E-3,1.114931107E-1
3.086652391E0,1.387834549E-3,-6.932020187E-5,9.712791443E-2
3.096644830E0,4.979133606E-3,8.310377598E-3,9.233951569E-2
3.106645281E0,8.570432663E-3,9.507477283E-3,1.090993881E-1
3.116677487E0,1.387834549E-3,1.549297571E-2,1.067047119E-1
3.126670436E0,1.335883141E-2,1.549297571E-2,1.031141281E-1
3.136656334E0,4.979133606E-3,9.507477283E-3,1.019163132E-1
3.146680167E0,-3.400564194E-3,5.916178226E-3,8.994579315E-2
3.156686891E0,-6.991893053E-3,7.113277912E-3,1.055078506E-1
3.166694715E0,1.387834549E-3,8.310377598E-3,1.031141281E-1
3.176674185E0,1.387834549E-3,4.719078541E-3,1.067047119E-1
3.186665035E0,4.979133606E-3,5.916178226E-3,8.036899567E-2
3.196668364E0,3.782033920E-3,1.070457697E-2,9.712791443E-2
3.206660278E0,4.979133606E-3,8.310377598E-3,9.952259064E-2
3.216665601E0,-1.006364822E-3,9.507477283E-3,9.114265442E-2
3.226690897E0,1.216173172E-2,1.127779484E-3,1.019163132E-1
3.236698853E0,4.979133606E-3,9.507477283E-3,9.952259064E-2
3.246806196E0,9.767532349E-3,1.127779484E-3,1.007194519E-1
3.256742118E0,8.570432663E-3,-2.463519573E-3,9.832572937E-2
3.266715963E0,1.455593109E-2,8.310377598E-3,9.593105316E-2
3.276687386E0,3.782033920E-3,-1.266419888E-3,1.019163132E-1
3.286679001E0,-6.991893053E-3,1.309877634E-2,9.114265442E-2
3.296666751E0,-2.203464508E-3,5.916178226E-3,9.952259064E-2
3.306685530E0,2.584934235E-3,8.310377598E-3,9.832572937E-2
3.316667304E0,8.570432663E-3,8.310377598E-3,1.043109894E-1
3.326693306E0,6.176233292E-3,1.070457697E-2,9.832572937E-2
3.336673961E0,4.979133606E-3,7.113277912E-3,9.593105316E-2
3.346803115E0,6.176233292E-3,7.113277912E-3,9.952259064E-2
3.356725077E0,7.373332977E-3,4.719078541E-3,1.174793243E-1
3.366696096E0,7.373332977E-3,3.521978855E-3,9.353733063E-2
3.376681664E0,6.176233292E-3,2.324879169E-3,8.515739441E-2
3.386664351E0,2.584934235E-3,1.429587603E-2,1.007194519E-1
3.396661772E0,1.907348633E-4,1.309877634E-2,1.055078506E-1
3.406661502E0,-6.991893053E-3,2.324879169E-3,1.055078506E-1
3.416657040E0,1.387834549E-3,-6.932020187E-5,9.233951569E-2
3.426668501E0,4.979133606E-3,1.070457697E-2,9.593105316E-2
3.436659924E0,3.782033920E-3,8.310377598E-3,1.019163132E-1
3.446668097E0,7.373332977E-3,1.070457697E-2,1.055078506E-1
3.456663972E0,8.570432663E-3,8.310377598E-3,1.150846481E-1
3.466671659E0,7.373332977E-3,-1.266419888E-3,8.156585693E-2
3.476680291E0,4.979133606E-3,-2.463519573E-3,7.318592072E-2
3.486711665E0,7.373332977E-3,1.309877634E-2,9.712791443E-2
3.496680910E0,4.979133606E-3,4.719078541E-3,1.138877869E-1
3.506665378E0,1.575303078E-2,5.916178226E-3,1.102962494E-1
3.516684497E0,-1.006364822E-3,-1.266419888E-3,9.473419189E-2
3.526703729E0,2.584934235E-3,4.719078541E-3,8.994579315E-2
3.536683922E0,4.979133606E-3,9.507477283E-3,9.593105316E-2
3.546801269E0,6.176233292E-3,1.190167665E-2,1.055078506E-1
3.556750289E0,1.387834549E-3,9.507477283E-3,1.114931107E-1
3.566705933E0,-3.400564194E-3,-1.266419888E-3,1.007194519E-1
3.576674121E0,-4.597693682E-3,4.719078541E-3,8.396053314E-2
3.586651945E0,1.907348633E-4,9.507477283E-3,9.353733063E-2
3.596640338E0,6.176233292E-3,1.429587603E-2,1.114931107E-1
3.606652111E0,7.373332977E-3,1.070457697E-2,1.007194519E-1
3.616667113E0,1.907348633E-4,8.310377598E-3,9.353733063E-2
3.626653903E0,1.907348633E-4,3.521978855E-3,9.353733063E-2
3.636659894E0,8.570432663E-3,5.916178226E-3,1.043109894E-1
3.646650274E0,9.767532349E-3,1.309877634E-2,1.019163132E-1
3.656642637E0,8.570432663E-3,8.310377598E-3,1.031141281E-1
3.666635761E0,4.979133606E-3,7.113277912E-3,9.593105316E-2
3.676672477E0,2.584934235E-3,8.310377598E-3,9.233951569E-2
3.686687219E0,2.584934235E-3,1.669007540E-2,9.952259064E-2
3.696707590E0,4.979133606E-3,4.719078541E-3,8.994579315E-2
