"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.576682560E0,2.657563984E-1,5.722141862E-1,9.897629738E0
1.586667781E0,2.645592988E-1,5.566518903E-1,9.894038200E0
1.596676564E0,2.585737705E-1,5.662286878E-1,9.886856079E0
1.606667302E0,2.537853718E-1,5.614402890E-1,9.892841339E0
1.616662460E0,2.609679997E-1,5.722141862E-1,9.891644478E0
1.626694712E0,2.585737705E-1,5.650315881E-1,9.907206535E0
1.636704684E0,2.537853718E-1,5.650315881E-1,9.895236015E0
1.646685362E0,2.609679997E-1,5.626373887E-1,9.882067680E0
1.656675682E0,2.645592988E-1,5.566518903E-1,9.874884605E0
1.666667265E0,2.753331959E-1,5.710170865E-1,9.889249802E0
1.676665941E0,2.765302956E-1,5.674257874E-1,9.890447617E0
1.686656471E0,2.813186944E-1,5.578489900E-1,9.878476143E0
1.696659506E0,2.741360962E-1,5.638344884E-1,9.896432877E0
1.706652542E0,2.657563984E-1,5.626373887E-1,9.878476143E0
1.716663618E0,2.729389966E-1,5.698199868E-1,9.902418137E0
1.726664175E0,2.633621991E-1,5.710170865E-1,9.901221275E0
1.736661204E0,2.633621991E-1,5.590460896E-1,9.898826599E0
1.746662218E0,2.657563984E-1,5.590460896E-1,9.900024414E0
1.756660379E0,2.561795712E-1,5.626373887E-1,9.890447617E0
1.766654902E0,2.669534981E-1,5.734112859E-1,9.880870819E0
1.776667894E0,2.609679997E-1,5.686228871E-1,9.894038200E0
1.786669255E0,2.741360962E-1,5.638344884E-1,9.894038200E0
1.796694282E0,2.645592988E-1,5.590460896E-1,9.892841339E0
1.806674930E0,2.681505978E-1,5.590460896E-1,9.895236015E0
1.816693773E0,2.633621991E-1,5.626373887E-1,9.882067680E0
1.826710983E0,2.669534981E-1,5.650315881E-1,9.888052940E0
1.836687608E0,2.729389966E-1,5.638344884E-1,9.892841339E0
1.846670786E0,2.657563984E-1,5.662286878E-1,9.897629738E0
1.856660605E0,2.573766708E-1,5.626373887E-1,9.892841339E0
1.866662688E0,2.621650994E-1,5.674257874E-1,9.885659218E0
1.876675595E0,2.597708702E-1,5.662286878E-1,9.879673004E0
1.886663067E0,2.765302956E-1,5.686228871E-1,9.889249802E0
1.896657419E0,2.633621991E-1,5.650315881E-1,9.892841339E0
1.906727633E0,2.621650994E-1,5.626373887E-1,9.895236015E0
1.916692606E0,2.669534981E-1,5.662286878E-1,9.896432877E0
1.926678592E0,2.681505978E-1,5.614402890E-1,9.897629738E0
1.936696412E0,2.705447972E-1,5.590460896E-1,9.874884605E0
1.946672995E0,2.729389966E-1,5.638344884E-1,9.884461403E0
1.956666383E0,2.645592988E-1,5.566518903E-1,9.894038200E0
1.966677442E0,2.669534981E-1,5.566518903E-1,9.889249802E0
1.976672741E0,2.693476975E-1,5.626373887E-1,9.874884605E0
1.986665487E0,2.657563984E-1,5.650315881E-1,9.894038200E0
1.996659033E0,2.609679997E-1,5.578489900E-1,9.897629738E0
2.006664556E0,2.669534981E-1,5.614402890E-1,9.889249802E0
2.016658144E0,2.633621991E-1,5.674257874E-1,9.900024414E0
2.026691438E0,2.633621991E-1,5.626373887E-1,9.884461403E0
2.036672085E0,2.633621991E-1,5.626373887E-1,9.883264542E0
2.046664274E0,2.741360962E-1,5.614402890E-1,9.888052940E0
2.056682561E0,2.717418969E-1,5.722141862E-1,9.888052940E0
2.066691108E0,2.681505978E-1,5.626373887E-1,9.902418137E0
2.076673574E0,2.681505978E-1,5.674257874E-1,9.876082420E0
2.086689230E0,2.609679997E-1,5.662286878E-1,9.883264542E0
2.096683327E0,2.669534981E-1,5.674257874E-1,9.879673004E0
2.106739010E0,2.681505978E-1,5.626373887E-1,9.892841339E0
2.116707102E0,2.717418969E-1,5.602431893E-1,9.896432877E0
2.126715148E0,2.657563984E-1,5.626373887E-1,9.910798073E0
2.136708479E0,2.717418969E-1,5.614402890E-1,9.880870819E0
2.146682086E0,2.609679997E-1,5.566518903E-1,9.883264542E0
2.156674005E0,2.681505978E-1,5.686228871E-1,9.889249802E0
2.166697080E0,2.717418969E-1,5.638344884E-1,9.888052940E0
2.176681291E0,2.657563984E-1,5.566518903E-1,9.892841339E0
2.186675531E0,2.729389966E-1,5.590460896E-1,9.879673004E0
2.196662824E0,2.681505978E-1,5.590460896E-1,9.896432877E0
2.206720316E0,2.645592988E-1,5.626373887E-1,9.880870819E0
2.216711986E0,2.753331959E-1,5.674257874E-1,9.886856079E0
2.226719494E0,2.597708702E-1,5.614402890E-1,9.897629738E0
2.236697151E0,2.729389966E-1,5.638344884E-1,9.895236015E0
2.246678903E0,2.669534981E-1,5.590460896E-1,9.880870819E0
2.256691318E0,2.705447972E-1,5.722141862E-1,9.895236015E0
2.266704717E0,2.609679997E-1,5.698199868E-1,9.891644478E0
2.276687609E0,2.669534981E-1,5.698199868E-1,9.888052940E0
2.286670286E0,2.669534981E-1,5.686228871E-1,9.890447617E0
2.296660605E0,2.705447972E-1,5.638344884E-1,9.895236015E0
2.306657322E0,2.669534981E-1,5.602431893E-1,9.892841339E0
2.316662546E0,2.681505978E-1,5.602431893E-1,9.885659218E0
2.326695677E0,2.621650994E-1,5.650315881E-1,9.894038200E0
2.336675339E0,2.669534981E-1,5.674257874E-1,9.891644478E0
2.346672689E0,2.609679997E-1,5.686228871E-1,9.886856079E0
2.356666441E0,2.717418969E-1,5.614402890E-1,9.885659218E0
2.366668336E0,2.657563984E-1,5.638344884E-1,9.889249802E0
2.376674534E0,2.765302956E-1,5.614402890E-1,9.880870819E0
2.386665575E0,2.717418969E-1,5.686228871E-1,9.902418137E0
2.396690269E0,2.729389966E-1,5.626373887E-1,9.892841339E0
2.406673289E0,2.693476975E-1,5.650315881E-1,9.889249802E0
2.416699703E0,2.585737705E-1,5.590460896E-1,9.884461403E0
2.426692621E0,2.645592988E-1,5.590460896E-1,9.898826599E0
2.436672330E0,2.621650994E-1,5.650315881E-1,9.897629738E0
2.446667069E0,2.621650994E-1,5.590460896E-1,9.888052940E0
2.456665516E0,2.633621991E-1,5.638344884E-1,9.900024414E0
2.466722643E0,2.681505978E-1,5.590460896E-1,9.895236015E0
2.476699495E0,2.573766708E-1,5.638344884E-1,9.891644478E0
2.486677075E0,2.705447972E-1,5.590460896E-1,9.886856079E0
2.496663307E0,2.693476975E-1,5.770025849E-1,9.892841339E0
2.506657673E0,2.717418969E-1,5.698199868E-1,9.890447617E0
2.516654299E0,2.681505978E-1,5.602431893E-1,9.885659218E0
2.526657477E0,2.765302956E-1,5.602431893E-1,9.877279282E0
2.536656104E0,2.741360962E-1,5.650315881E-1,9.896432877E0
2.546658745E0,2.657563984E-1,5.650315881E-1,9.894038200E0
2.556656892E0,2.693476975E-1,5.686228871E-1,9.889249802E0
2.566656081E0,2.753331959E-1,5.590460896E-1,9.885659218E0
2.576668118E0,2.669534981E-1,5.554547906E-1,9.889249802E0
2.586662963E0,2.741360962E-1,5.590460896E-1,9.879673004E0
2.596663213E0,2.645592988E-1,5.602431893E-1,9.895236015E0
2.606708069E0,2.657563984E-1,5.662286878E-1,9.890447617E0
2.616684150E0,2.669534981E-1,5.650315881E-1,9.879673004E0
2.626675672E0,2.645592988E-1,5.638344884E-1,9.886856079E0
2.636668606E0,2.657563984E-1,5.698199868E-1,9.901221275E0
2.646669611E0,2.729389966E-1,5.686228871E-1,9.884461403E0
2.656661460E0,2.717418969E-1,5.602431893E-1,9.896432877E0
2.666684192E0,2.669534981E-1,5.662286878E-1,9.892841339E0
2.676684308E0,2.705447972E-1,5.590460896E-1,9.883264542E0
2.686776347E0,2.717418969E-1,5.686228871E-1,9.878476143E0
2.696712328E0,2.693476975E-1,5.602431893E-1,9.906009674E0
2.706681838E0,2.693476975E-1,5.578489900E-1,9.897629738E0
2.716675689E0,2.633621991E-1,5.530605912E-1,9.885659218E0
2.726747499E0,2.657563984E-1,5.710170865E-1,9.880870819E0
2.736699000E0,2.705447972E-1,5.710170865E-1,9.876082420E0
2.746685135E0,2.753331959E-1,5.686228871E-1,9.900024414E0
2.756670760E0,2.597708702E-1,5.578489900E-1,9.890447617E0
2.766666630E0,2.645592988E-1,5.662286878E-1,9.871294022E0
2.776667623E0,2.705447972E-1,5.602431893E-1,9.874884605E0
2.786686312E0,2.837128937E-1,5.638344884E-1,9.902418137E0
2.796672060E0,2.657563984E-1,5.698199868E-1,9.890447617E0
2.806663723E0,2.621650994E-1,5.602431893E-1,9.880870819E0
2.816671227E0,2.657563984E-1,5.602431893E-1,9.890447617E0
2.826707249E0,2.705447972E-1,5.530605912E-1,9.886856079E0
2.836687875E0,2.765302956E-1,5.650315881E-1,9.878476143E0
2.846704323E0,2.777273953E-1,5.614402890E-1,9.884461403E0
2.856675777E0,2.669534981E-1,5.650315881E-1,9.878476143E0
2.866695427E0,2.693476975E-1,5.566518903E-1,9.891644478E0
2.876718829E0,2.633621991E-1,5.626373887E-1,9.902418137E0
2.886698473E0,2.729389966E-1,5.638344884E-1,9.889249802E0
2.896710602E0,2.705447972E-1,5.746083856E-1,9.879673004E0
2.906684821E0,2.753331959E-1,5.638344884E-1,9.889249802E0
2.916714257E0,2.609679997E-1,5.578489900E-1,9.879673004E0
2.926676456E0,2.669534981E-1,5.626373887E-1,9.883264542E0
2.936657382E0,2.633621991E-1,5.662286878E-1,9.884461403E0
2.946646999E0,2.681505978E-1,5.638344884E-1,9.877279282E0
2.956640346E0,2.693476975E-1,5.626373887E-1,9.898826599E0
2.966638654E0,2.633621991E-1,5.638344884E-1,9.885659218E0
2.976661962E0,2.717418969E-1,5.602431893E-1,9.885659218E0
2.986672058E0,2.753331959E-1,5.662286878E-1,9.892841339E0
2.996674626E0,2.609679997E-1,5.566518903E-1,9.892841339E0
3.006670160E0,2.657563984E-1,5.650315881E-1,9.878476143E0
3.016649715E0,2.597708702E-1,5.638344884E-1,9.880870819E0
3.026648262E0,2.729389966E-1,5.734112859E-1,9.902418137E0
3.036642112E0,2.633621991E-1,5.566518903E-1,9.879673004E0
3.046634056E0,2.633621991E-1,5.638344884E-1,9.889249802E0
3.056631778E0,2.633621991E-1,5.710170865E-1,9.884461403E0
3.066649985E0,2.693476975E-1,5.662286878E-1,9.884461403E0
3.076669358E0,2.693476975E-1,5.650315881E-1,9.898826599E0
3.086652391E0,2.657563984E-1,5.554547906E-1,9.884461403E0
3.096644830E0,2.693476975E-1,5.638344884E-1,9.879673004E0
3.106645281E0,2.729389966E-1,5.650315881E-1,9.896432877E0
3.116677487E0,2.657563984E-1,5.710170865E-1,9.894038200E0
3.126670436E0,2.777273953E-1,5.710170865E-1,9.890447617E0
3.136656334E0,2.693476975E-1,5.650315881E-1,9.889249802E0
3.146680167E0,2.609679997E-1,5.614402890E-1,9.877279282E0
3.156686891E0,2.573766708E-1,5.626373887E-1,9.892841339E0
3.166694715E0,2.657563984E-1,5.638344884E-1,9.890447617E0
3.176674185E0,2.657563984E-1,5.602431893E-1,9.894038200E0
3.186665035E0,2.693476975E-1,5.614402890E-1,9.867702484E0
3.196668364E0,2.681505978E-1,5.662286878E-1,9.884461403E0
3.206660278E0,2.693476975E-1,5.638344884E-1,9.886856079E0
3.216665601E0,2.633621991E-1,5.650315881E-1,9.878476143E0
3.226690897E0,2.765302956E-1,5.566518903E-1,9.889249802E0
3.236698853E0,2.693476975E-1,5.650315881E-1,9.886856079E0
3.246806196E0,2.741360962E-1,5.566518903E-1,9.888052940E0
3.256742118E0,2.729389966E-1,5.530605912E-1,9.885659218E0
3.266715963E0,2.789244950E-1,5.638344884E-1,9.883264542E0
3.276687386E0,2.681505978E-1,5.542576909E-1,9.889249802E0
3.286679001E0,2.573766708E-1,5.686228871E-1,9.878476143E0
3.296666751E0,2.621650994E-1,5.614402890E-1,9.886856079E0
3.306685530E0,2.669534981E-1,5.638344884E-1,9.885659218E0
3.316667304E0,2.729389966E-1,5.638344884E-1,9.891644478E0
3.326693306E0,2.705447972E-1,5.662286878E-1,9.885659218E0
3.336673961E0,2.693476975E-1,5.626373887E-1,9.883264542E0
3.346803115E0,2.705447972E-1,5.626373887E-1,9.886856079E0
3.356725077E0,2.717418969E-1,5.602431893E-1,9.904812813E0
3.366696096E0,2.717418969E-1,5.590460896E-1,9.880870819E0
3.376681664E0,2.705447972E-1,5.578489900E-1,9.872490883E0
3.386664351E0,2.669534981E-1,5.698199868E-1,9.888052940E0
3.396661772E0,2.645592988E-1,5.686228871E-1,9.892841339E0
3.406661502E0,2.573766708E-1,5.578489900E-1,9.892841339E0
3.416657040E0,2.657563984E-1,5.554547906E-1,9.879673004E0
3.426668501E0,2.693476975E-1,5.662286878E-1,9.883264542E0
3.436659924E0,2.681505978E-1,5.638344884E-1,9.889249802E0
3.446668097E0,2.717418969E-1,5.662286878E-1,9.892841339E0
3.456663972E0,2.729389966E-1,5.638344884E-1,9.902418137E0
3.466671659E0,2.717418969E-1,5.542576909E-1,9.868899345E0
3.476680291E0,2.693476975E-1,5.530605912E-1,9.860519409E0
3.486711665E0,2.717418969E-1,5.686228871E-1,9.884461403E0
3.496680910E0,2.693476975E-1,5.602431893E-1,9.901221275E0
3.506665378E0,2.801215947E-1,5.614402890E-1,9.897629738E0
3.516684497E0,2.633621991E-1,5.542576909E-1,9.882067680E0
3.526703729E0,2.669534981E-1,5.602431893E-1,9.877279282E0
3.536683922E0,2.693476975E-1,5.650315881E-1,9.883264542E0
3.546801269E0,2.705447972E-1,5.674257874E-1,9.892841339E0
3.556750289E0,2.657563984E-1,5.650315881E-1,9.898826599E0
3.566705933E0,2.609679997E-1,5.542576909E-1,9.888052940E0
3.576674121E0,2.597708702E-1,5.602431893E-1,9.871294022E0
3.586651945E0,2.645592988E-1,5.650315881E-1,9.880870819E0
3.596640338E0,2.705447972E-1,5.698199868E-1,9.898826599E0
3.606652111E0,2.717418969E-1,5.662286878E-1,9.888052940E0
3.616667113E0,2.645592988E-1,5.638344884E-1,9.880870819E0
3.626653903E0,2.645592988E-1,5.590460896E-1,9.880870819E0
3.636659894E0,2.729389966E-1,5.614402890E-1,9.891644478E0
3.646650274E0,2.741360962E-1,5.686228871E-1,9.889249802E0
3.656642637E0,2.729389966E-1,5.638344884E-1,9.890447617E0
3.666635761E0,2.693476975E-1,5.626373887E-1,9.883264542E0
3.676672477E0,2.669534981E-1,5.638344884E-1,9.879673004E0
3.686687219E0,2.669534981E-1,5.722141862E-1,9.886856079E0
3.696707590E0,2.693476975E-1,5.602431893E-1,9.877279282E0
3.706688487E0,2.633621991E-1,5.638344884E-1,9.898826599E0
3.716708109E0,2.645592988E-1,5.626373887E-1,9.886856079E0
3.726730805E0,2.669534981E-1,5.638344884E-1,9.885659218E0
3.737301480E0,2.633621991E-1,5.662286878E-1,9.888052940E0
3.746981567E0,2.681505978E-1,5.686228871E-1,9.892841339E0
3.756813726E0,2.657563984E-1,5.566518903E-1,9.876082420E0
3.766905152E0,2.681505978E-1,5.686228871E-1,9.884461403E0
3.776784980E0,2.657563984E-1,5.638344884E-1,9.885659218E0
3.786715894E0,2.729389966E-1,5.638344884E-1,9.892841339E0
3.796682524E0,2.741360962E-1,5.614402890E-1,9.889249802E0
3.806664974E0,2.597708702E-1,5.638344884E-1,9.884461403E0
