"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.456678049E0,2.262520641E-1,2.273294449E0,9.793481827E0
2.466683468E0,3.818751574E-1,2.239775658E0,9.819818497E0
2.476696351E0,3.914519846E-1,2.153584480E0,9.878476143E0
2.486707946E0,3.531447649E-1,2.224213362E0,9.910798073E0
2.496694167E0,2.597708702E-1,2.310404539E0,9.892841339E0
2.508529431E0,3.220201433E-1,2.339135170E0,9.993397713E0
2.518020717E0,3.220201433E-1,2.339135170E0,9.993397713E0
2.527349052E0,2.549824715E-1,2.420537949E0,9.894038200E0
2.537009393E0,2.130839527E-1,2.410961151E0,9.642647743E0
2.546849178E0,3.004723191E-1,2.364274263E0,9.429563522E0
2.556789706E0,2.525882721E-1,2.372653961E0,9.378087997E0
2.566731623E0,2.585737705E-1,2.404975653E0,9.402029991E0
2.576725390E0,2.358288616E-1,2.353500366E0,9.174580574E0
2.586702158E0,7.062894851E-2,2.199074268E0,9.042900085E0
2.596726753E0,1.999158412E-1,2.172738075E0,9.396044731E0
2.606711570E0,6.009446383E-1,2.342726469E0,1.002332497E1
2.616718690E0,4.692635238E-1,2.335543871E0,1.021366405E1
2.626690096E0,3.962403834E-1,2.220622063E0,9.787496567E0
2.636710107E0,5.027823448E-1,2.200271368E0,9.607931137E0
2.646689497E0,5.853823423E-1,2.240972757E0,9.619902611E0
2.656698384E0,4.405331016E-1,2.135627985E0,9.659406662E0
2.666685385E0,2.334346622E-1,2.100912094E0,9.588777542E0
2.676678040E0,3.459621370E-1,2.208651066E0,9.706093788E0
2.686674463E0,3.615244627E-1,2.313995838E0,9.904812813E0
2.696711367E0,4.333505034E-1,2.266111851E0,9.873687744E0
2.706717531E0,5.207388401E-1,2.145204782E0,9.872490883E0
2.716727747E0,5.758054852E-1,2.127248287E0,9.647436142E0
2.726693048E0,4.285621047E-1,2.129642487E0,9.326612473E0
2.736704083E0,4.345476031E-1,2.194285870E0,9.394847870E0
2.746716235E0,5.291185975E-1,2.202665567E0,9.588777542E0
2.756693888E0,5.781996846E-1,2.229001760E0,9.811438560E0
2.766704349E0,6.141127348E-1,2.272097349E0,9.883264542E0
2.776713753E0,6.248866320E-1,2.262520552E0,9.768342972E0
2.786718935E0,6.895300746E-1,2.294842243E0,9.485827446E0
2.796701392E0,6.009446383E-1,2.244564056E0,9.398438454E0
2.806684582E0,6.931213737E-1,2.145204782E0,9.543288231E0
2.816706158E0,7.541735172E-1,2.092532396E0,9.580398560E0
2.826686369E0,7.026981711E-1,2.121262789E0,9.599552155E0
2.836717282E0,6.260837317E-1,2.276885748E0,9.707290649E0
2.846696565E0,5.255272985E-1,2.389413357E0,9.786299706E0
2.856703149E0,4.548983276E-1,2.284068346E0,9.730035782E0
2.866720153E0,6.619967818E-1,2.272097349E0,9.618705750E0
2.876723212E0,7.888894677E-1,2.279279947E0,9.508571625E0
2.886721434E0,8.786720037E-1,2.233790159E0,9.381679535E0
2.896724045E0,6.967126727E-1,2.266111851E0,9.198522568E0
2.906720062E0,6.356605291E-1,2.321178436E0,9.165003777E0
2.916721571E0,6.081272364E-1,2.312798738E0,9.410409927E0
2.926718402E0,5.937620401E-1,2.291250944E0,9.637859344E0
2.936738702E0,5.458779931E-1,2.296039343E0,9.786299706E0
2.946736429E0,4.225766063E-1,2.272097349E0,9.953893661E0
2.956702177E0,4.932055473E-1,2.321178436E0,1.008198357E1
2.966713493E0,5.458779931E-1,2.313995838E0,9.915586472E0
2.976717863E0,7.098808289E-1,2.264914751E0,9.793481827E0
2.986718279E0,7.900865674E-1,2.211045265E0,9.734824181E0
