"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.406678652E0,-6.271476299E-2,-1.212263107E-2,1.724338531E-2
2.416686212E0,-4.621258080E-1,9.944081306E-2,-4.465131760E-1
2.426708953E0,-2.711282372E-1,1.701641083E-1,-4.918699265E-1
2.436726305E0,-1.521466076E-1,3.458642960E-2,-1.010627747E-1
2.446697519E0,9.426549077E-3,-4.591822624E-2,1.916189194E-1
2.456678049E0,4.029911757E-2,-6.715369225E-2,2.720270157E-1
2.466683468E0,1.818233579E-1,-8.544874191E-2,2.949199677E-1
2.476696351E0,1.747091264E-1,-1.577053070E-1,3.505516052E-1
2.486707946E0,1.170915812E-1,-7.631349564E-2,3.807277679E-1
2.496694167E0,3.596663475E-3,1.598811150E-2,3.618173599E-1
2.508529431E0,4.490256310E-2,4.685473442E-2,4.624452591E-1
2.518020717E0,2.247574925E-2,4.652738571E-2,4.632034302E-1
2.527349052E0,-6.416961551E-2,1.262671947E-1,3.648805618E-1
2.537009393E0,-1.195015907E-1,1.158146858E-1,1.141605377E-1
2.546849178E0,-4.015406966E-2,7.038474083E-2,-9.894275665E-2
2.556789706E0,-9.249523282E-2,8.147501945E-2,-1.509103775E-1
2.566731623E0,-8.768647909E-2,1.174426079E-1,-1.278009415E-1
2.576725390E0,-1.090795249E-1,7.107210159E-2,-3.565235138E-1
2.586702158E0,-2.720530629E-1,-7.335901260E-2,-4.906721115E-1
2.596726753E0,-1.428042203E-1,-8.309149742E-2,-1.414690018E-1
2.606711570E0,2.557761967E-1,1.050736904E-1,4.816188812E-1
2.616718690E0,1.245462894E-1,1.094448566E-1,6.692390442E-1
2.626690096E0,5.201837420E-2,-3.459215164E-3,2.425832748E-1
2.636710107E0,1.510397792E-1,-2.786111832E-2,6.423759460E-2
2.646689497E0,2.157155275E-1,6.798744202E-3,7.829952240E-2
2.656698384E0,4.544511437E-2,-1.030542850E-1,1.198787689E-1
2.666685385E0,-1.887944490E-1,-1.397995949E-1,5.088901520E-2
2.676678040E0,-1.000702083E-1,-3.126573563E-2,1.691017151E-1
2.686674463E0,-1.006709337E-1,7.759499550E-2,3.677654266E-1
2.696711367E0,-3.532811999E-2,3.445744514E-2,3.358449936E-1
2.706717531E0,5.481836200E-2,-8.086848259E-2,3.332090378E-1
2.716727747E0,1.163862050E-1,-9.302473068E-2,1.064872742E-1
2.726693048E0,-2.842479944E-2,-8.974575996E-2,-2.146596909E-1
2.736704083E0,-2.395662665E-2,-2.491521835E-2,-1.463947296E-1
2.746716235E0,6.327673793E-2,-1.584100723E-2,4.772949219E-2
2.756693888E0,1.006339788E-1,1.062488556E-2,2.709388733E-1
2.766704349E0,1.244397461E-1,5.130410194E-2,3.439416885E-1
2.776713753E0,1.256536841E-1,3.705263138E-2,2.306051254E-1
2.786718935E0,1.823097467E-1,6.423115730E-2,-5.028820038E-2
2.796701392E0,8.415871859E-2,1.038932800E-2,-1.363286972E-1
2.806684582E0,1.621001959E-1,-9.135818481E-2,9.863853455E-3
2.816706158E0,2.052800059E-1,-1.481978893E-1,4.896450043E-2
2.826686369E0,1.341624856E-1,-1.272413731E-1,7.110118866E-2
2.836717282E0,3.981453180E-2,1.635098457E-2,1.827621460E-1
2.846696565E0,-7.187420130E-2,1.126444340E-1,2.663297653E-1
2.856703149E0,-1.488091052E-1,-1.098537445E-2,2.148561478E-1
2.866720153E0,5.295264721E-2,-4.032564163E-2,1.080722809E-1
2.876723212E0,1.764025092E-1,-4.752922058E-2,1.667976379E-3
2.886721434E0,2.646902204E-1,-1.026761532E-1,-1.227579117E-1
2.896724045E0,8.548957109E-2,-7.387137413E-2,-3.052282333E-1
2.906720062E0,3.049165010E-2,-1.448345184E-2,-3.401975632E-1
2.916721571E0,7.840216160E-3,-1.088070869E-2,-9.803676605E-2
2.926718402E0,-3.995597363E-3,-1.615238190E-2,1.252899170E-1
2.936738702E0,-5.125439167E-2,6.358385086E-3,2.694101334E-1
2.946736429E0,-1.755022407E-1,-2.219676971E-4,4.329032898E-1
2.956702177E0,-1.052668691E-1,6.407713890E-2,5.573987961E-1
