"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.853916449E0,3.811798990E-2,3.174463287E-2,1.358156931E-2
1.863903438E0,-5.412266403E-2,7.817038894E-2,2.152281627E-2
1.873916163E0,-1.194852442E-1,7.022914290E-2,1.846849173E-2
1.883925006E0,-1.457524449E-1,1.201368868E-3,1.419243310E-2
1.893932735E0,-1.384220719E-1,-8.920668066E-2,8.083782159E-3
1.903907369E0,-1.213178411E-1,-1.783930212E-1,1.364263706E-3
1.913896205E0,-8.527678996E-2,-2.419230044E-1,-5.355253816E-3
1.923889142E0,-3.274238110E-2,-2.596380711E-1,-6.576984189E-3
1.933891669E0,9.407320991E-3,-2.370360792E-1,-1.690062694E-3
1.943913394E0,3.139847517E-2,-1.863342673E-1,2.585994080E-3
1.953930564E0,3.811798990E-2,-8.615235984E-2,1.364263706E-3
1.963938533E0,4.544837028E-2,2.991203591E-2,8.694645949E-3
1.973928537E0,3.872885555E-2,8.794423938E-2,1.297070365E-2
1.983903770E0,-2.052507550E-2,7.328346372E-2,8.083782159E-3
1.993891963E0,-9.138543904E-2,3.052290156E-2,7.472916506E-3
2.003884829E0,-1.103222668E-1,-2.873102576E-2,1.113810856E-2
2.013901281E0,-7.489208132E-2,-8.615235984E-2,7.472916506E-3
2.023890411E0,-2.199117094E-3,-1.105869710E-1,-2.300927415E-3
2.033891092E0,7.354817539E-2,-1.240260005E-1,-1.940515451E-2
2.043894336E0,9.126326442E-2,-1.301346570E-1,-2.673553675E-2
2.053887823E0,4.422664642E-2,-1.130304337E-1,-1.207477134E-2
2.063886317E0,-3.946189582E-2,-9.714793414E-2,-2.300927415E-3
2.073884602E0,-1.231504306E-1,-2.017891407E-2,-4.683323205E-4
2.083911879E0,-1.200961098E-1,-3.685552627E-3,5.029455759E-3
2.093896152E0,-9.993755072E-2,-1.242090017E-3,5.640320480E-3
2.103909981E0,-6.511823833E-2,-6.312243640E-4,5.029455759E-3
2.114062857E0,-2.785545774E-2,-8.572474122E-3,-1.079197042E-3
2.123974718E0,-4.642577842E-3,-1.345939562E-2,-1.146390662E-2
2.134338053E0,1.734857075E-2,-6.129011512E-3,-2.001602016E-2
2.144111316E0,5.033529550E-2,1.525127143E-2,-2.123774961E-2
2.154027390E0,5.705481023E-2,4.090761021E-2,-1.635082811E-2
2.163959619E0,2.040289529E-2,4.151847586E-2,-5.966119003E-3
2.173921253E0,-2.235767059E-2,2.319252118E-2,-1.690062694E-3
2.183905224E0,-4.434882104E-2,1.219694316E-2,1.364263706E-3
2.193923536E0,-5.167920142E-2,2.441424876E-2,7.472916506E-3
2.203935789E0,-7.367035002E-2,1.891646162E-2,1.419243310E-2
2.213943146E0,-9.810496122E-2,1.464040577E-2,1.785762608E-2
2.223918017E0,-9.627236426E-2,4.866562784E-3,9.916377254E-3
2.233901894E0,-6.267477572E-2,-1.162680052E-2,-2.911793068E-3
2.243920871E0,-6.267477572E-2,-3.361794725E-2,-8.409580216E-3
2.253907783E0,-5.253443494E-3,-5.683082715E-2,-8.409580216E-3
2.263905220E0,5.131265149E-3,-5.133304000E-2,-9.020444937E-3
2.273909169E0,5.742130801E-3,-4.296416417E-3,-1.690062694E-3
2.283906586E0,1.307251491E-2,1.891646162E-2,-2.300927415E-3
2.293893814E0,1.979203336E-2,1.036434993E-2,-7.187849842E-3
2.303966966E0,-8.307769895E-3,7.310021669E-3,1.364263706E-3
2.313933600E0,-6.817256659E-2,-3.074686974E-3,1.602502912E-2
2.323906032E0,-1.298699528E-1,-2.262237296E-2,2.702060342E-2
2.333922767E0,-1.683544666E-1,-5.133304000E-2,3.312925622E-2
2.343927404E0,-1.732413918E-1,-8.065457642E-2,3.251839057E-2
2.353921588E0,-1.457524449E-1,-1.008131206E-1,2.518801019E-2
2.363934853E0,-1.023810133E-1,-8.309803158E-2,2.152281627E-2
2.373912197E0,-3.885103017E-2,-6.355034560E-2,1.785762608E-2
2.383938792E0,3.445279598E-2,-7.515678555E-2,8.083782159E-3
2.393943647E0,1.114218161E-1,-1.325781196E-1,-1.024217624E-2
2.403944806E0,1.126435474E-1,-1.521258056E-1,-1.818342507E-2
2.413919770E0,7.843510062E-2,-1.509040743E-1,-1.757255942E-2
2.423900271E0,-3.420848399E-3,-1.252477318E-1,6.862050854E-3
2.433901291E0,-8.955284953E-2,-1.252477318E-1,2.885320038E-2
2.443919108E0,-1.378111988E-1,-1.234151423E-1,4.290310293E-2
2.453910574E0,-1.549154371E-1,-1.331889778E-1,5.084434897E-2
2.463937654E0,-1.579697579E-1,-1.454062909E-1,5.145521462E-2
2.473911463E0,-1.420872658E-1,-1.722843647E-1,4.045964032E-2
2.483993002E0,-1.060462072E-1,-1.985515654E-1,3.190752864E-2
2.493946618E0,-5.839871988E-2,-2.132123411E-1,2.518801019E-2
2.503911791E0,-1.624901779E-2,-2.242079079E-1,1.785762608E-2
2.514022339E0,1.001818664E-2,-2.400904000E-1,8.694645949E-3
2.523980786E0,2.223549224E-2,-2.211535871E-1,-7.187849842E-3
2.533988837E0,1.123991795E-2,-1.588453203E-1,-7.187849842E-3
2.543931304E0,-1.380555704E-2,-1.008131206E-1,-1.079197042E-3
2.553925269E0,-3.213151544E-2,-6.293947995E-2,7.533989847E-4
2.563903963E0,-4.557054862E-2,-2.750929631E-2,5.640320480E-3
2.573916790E0,-6.450737268E-2,-6.312243640E-4,8.694645949E-3
2.583894896E0,-1.176526472E-1,5.477428436E-3,2.030108497E-2
2.593889315E0,-1.848478317E-1,-1.162680052E-2,5.084434897E-2
2.603883332E0,-1.995085925E-1,-2.140064351E-2,6.489424407E-2
2.614059513E0,-1.262047589E-1,8.531752974E-3,4.168137163E-2
2.623970719E0,-2.663372643E-2,5.477428436E-3,1.663589478E-2
2.633951822E0,3.933972120E-2,-7.943284512E-2,7.533989847E-4
2.643937604E0,6.133086979E-2,-1.881668568E-1,-7.187849842E-3
2.653934765E0,4.789183289E-2,-2.700228095E-1,-1.329650171E-2
2.663909653E0,2.528982051E-2,-2.975117266E-1,-1.818342507E-2
2.673903308E0,-2.809982747E-3,-2.651358843E-1,-9.020444937E-3
2.683895982E0,-3.152064979E-2,-1.845016629E-1,9.305511601E-3
2.693910223E0,-4.434882104E-2,-8.004370332E-2,1.785762608E-2
2.703906382E0,-5.106833577E-2,2.258165553E-2,2.213368192E-2
2.713897058E0,-5.290093273E-2,6.839655340E-2,2.518801019E-2
2.723892492E0,-2.199117094E-3,2.441424876E-2,1.602502912E-2
2.733917016E0,3.909535706E-3,-1.590285636E-2,1.907935739E-2
2.743898528E0,-1.588251442E-3,-7.454591990E-2,2.457714453E-2
2.753899015E0,4.520399496E-3,-1.197499484E-1,2.274454758E-2
2.763904759E0,3.078760765E-2,-1.246368736E-1,1.358156931E-2
2.773929515E0,5.400048941E-2,-9.836965799E-2,5.029455759E-3
2.783938586E0,5.705481023E-2,-8.065457642E-2,-4.683323205E-4
2.793914313E0,3.933972120E-2,-9.898053110E-2,-7.798714563E-3
2.803911004E0,2.895501070E-2,-1.460171491E-1,-6.576984189E-3
2.813897234E0,5.094616115E-2,-1.845016629E-1,-1.635082811E-2
2.823894060E0,9.126326442E-2,-2.071036845E-1,-3.345505521E-2
2.833918743E0,1.352455616E-1,-1.912211925E-1,-4.078543931E-2
2.843901450E0,1.786169857E-1,-1.270803362E-1,-4.139630124E-2
2.853936399E0,2.024407387E-1,-7.943284512E-2,-3.528765216E-2
2.863940835E0,1.969429404E-1,-6.416121125E-2,-1.757255942E-2
2.873917572E0,1.670105457E-1,-3.972660005E-2,-1.757255942E-2
2.883924806E0,1.187522039E-1,-1.040506922E-2,-1.085304096E-2
2.893936269E0,5.094616115E-2,3.357722983E-2,-2.123774961E-2
2.903938251E0,-3.640757129E-2,7.022914290E-2,-1.329650171E-2
2.913922742E0,-1.200961098E-1,6.045529619E-2,1.364263706E-3
2.923939199E0,-1.665218771E-1,3.540982679E-2,8.083782159E-3
2.933934774E0,-1.836261004E-1,1.280780882E-2,9.305511601E-3
2.943938369E0,-1.799609065E-1,-7.961608469E-3,1.113810856E-2
2.953910070E0,-1.579697579E-1,-3.074686974E-3,1.846849173E-2
2.963925421E0,-1.060462072E-1,8.531752974E-3,2.335541323E-2
2.973934712E0,-3.457497433E-2,1.201368868E-3,2.030108497E-2
2.983912569E0,1.734857075E-2,-1.590285636E-2,1.419243310E-2
2.993898401E0,3.200933337E-2,-6.129011512E-3,9.305511601E-3
3.003892278E0,1.795943640E-2,1.769473031E-2,6.251185201E-3
3.013888082E0,-1.441642176E-2,1.769473031E-2,5.640320480E-3
3.023887292E0,-6.145304441E-2,-1.852955669E-3,1.364263706E-3
3.033901628E0,-1.243721619E-1,-6.312243640E-4,-3.522658255E-3
3.043892161E0,-2.202780098E-1,6.534221768E-2,1.052724291E-2
3.053888274E0,-2.355496436E-1,5.679010972E-2,2.091195062E-2
3.063885580E0,-2.251649350E-1,3.296636418E-2,3.190752864E-2
3.073894118E0,-1.921782196E-1,1.036434993E-2,3.190752864E-2
3.083904425E0,-1.378111988E-1,2.258165553E-2,2.702060342E-2
3.093924521E0,-8.038986474E-2,3.663155809E-2,2.579887584E-2
3.103903512E0,-4.618141428E-2,4.457280412E-2,1.846849173E-2
3.114670007E0,-5.534439534E-2,4.457280412E-2,1.969022304E-2
3.124283024E0,-9.443976730E-2,7.310021669E-3,3.374012187E-2
3.134083455E0,-1.378111988E-1,-5.621996522E-2,5.084434897E-2
3.143998902E0,-1.677436084E-1,-1.038674563E-1,5.573127046E-2
3.153940683E0,-1.756848544E-1,-1.289129257E-1,6.428337842E-2
3.163916516E0,-1.756848544E-1,-1.747278273E-1,6.122906134E-2
3.173912586E0,-1.347568780E-1,-1.631213874E-1,5.145521462E-2
3.183931217E0,-8.894198388E-2,-1.399085075E-1,5.634213611E-2
3.193908552E0,-1.017701477E-1,-1.515149474E-1,5.145521462E-2
3.203925662E0,-1.335351467E-1,-1.845016629E-1,6.183992699E-2
3.213935697E0,-1.518611014E-1,-2.468099296E-1,9.116145223E-2
3.223934734E0,-1.585806310E-1,-2.590272129E-1,9.360491484E-2
3.233935195E0,-1.353677362E-1,-2.009950280E-1,6.489424407E-2
3.243908675E0,-9.321803600E-2,-1.985515654E-1,4.168137163E-2
3.253901165E0,-8.100073040E-2,-2.590272129E-1,3.984877467E-2
3.263960699E0,-1.213178411E-1,-3.347745240E-1,4.534656182E-2
3.273930408E0,-1.958433986E-1,-4.074674845E-1,4.779002443E-2
3.283919955E0,-2.673146427E-1,-4.868799746E-1,6.306164712E-2
3.293901517E0,-3.265685737E-1,-5.400252342E-1,8.199847490E-2
3.303924683E0,-3.699400127E-1,-6.292115450E-1,1.168177947E-1
3.313908362E0,-3.815464377E-1,-8.039190173E-1,1.632435620E-1
3.323994740E0,-3.833790421E-1,-9.877894521E-1,1.834021062E-1
3.333949698E0,-3.913202882E-1,-1.140505791E0,1.846238375E-1
3.343942504E0,-4.298048019E-1,-1.196705461E0,1.895107627E-1
3.353926041E0,-4.530176818E-1,-1.281004786E0,1.827912480E-1
3.364164945E0,-4.035376012E-1,-1.596822143E0,1.608000994E-1
